algo;n;ms
FredmanTarjan;1300;249.313
FredmanTarjan;1400;289.577
FredmanTarjan;1500;331.095
FredmanTarjan;1600;376.912
FredmanTarjan;1700;427.943
FredmanTarjan;1800;475.354
FredmanTarjan;1900;542.081
FredmanTarjan;2000;610.667
FredmanTarjan;2100;659.291
FredmanTarjan;2200;723.36
FredmanTarjan;2300;781.071
FredmanTarjan;2400;852.161
FredmanTarjan;2500;925.984
FredmanTarjan;2600;1011.82
FredmanTarjan;2700;1084.6
FredmanTarjan;2800;1174.69
FredmanTarjan;2900;1269.1
FredmanTarjan;3000;1373.02
FredmanTarjan;3100;1459.32
FredmanTarjan;3200;1600.86
FredmanTarjan;3300;1691.43
FredmanTarjan;3400;1816.13
FredmanTarjan;3500;1925.49
FredmanTarjan;3600;2048.82
FredmanTarjan;3700;2188.29
FredmanTarjan;3800;2294.7
FredmanTarjan;3900;2452.46
FredmanTarjan;4000;2575.14
FredmanTarjan;4100;2714.55
FredmanTarjan;4200;2847.38
FredmanTarjan;4300;3001.36
FredmanTarjan;4400;3112.59
FredmanTarjan;4500;3179.86
FredmanTarjan;4600;3337.11
FredmanTarjan;4700;3519.97
FredmanTarjan;4800;3684.65
FredmanTarjan;4900;3751.26
FredmanTarjan;5000;3983.26
Chazelle;100;0.641354
Chazelle;200;0.38469
Chazelle;300;0.88084
Chazelle;400;1.58406
Chazelle;500;2.5638
Chazelle;600;5.98638
Chazelle;700;4.98135
Chazelle;800;6.28487
Chazelle;900;9.75642
Chazelle;1000;11.3094
Chazelle;1100;14.1279
Chazelle;1200;20.9929
Chazelle;1300;22.2973
Chazelle;1400;25.5027
Chazelle;1500;34.5688
Chazelle;1600;35.2463
Chazelle;1700;44.8501
Chazelle;1800;52.412
Chazelle;1900;60.9909
Chazelle;2000;71.3642
Chazelle;2100;82.2545
Chazelle;2200;94.3775
Chazelle;2300;125.748
Chazelle;2400;143.131
Chazelle;2500;178.472
Chazelle;2600;195.035
Chazelle;2700;196.876
Chazelle;2800;199.488
Chazelle;2900;223.405
Chazelle;3000;240.994
Chazelle;3100;269.176
Chazelle;3200;295.127
Chazelle;3300;346.471
Chazelle;3400;364.298
Chazelle;3500;391.649
Chazelle;3600;452.436
