algo;n;ms
Boruvka;1600;2.0276
Boruvka;1700;2.11992
Boruvka;1800;2.25857
Boruvka;1900;2.40894
Boruvka;2000;2.5493
Boruvka;2100;2.71494
Boruvka;2200;2.9692
Boruvka;2300;3.11358
Boruvka;2400;3.34529
Boruvka;2500;3.8129
Boruvka;2600;3.56674
Boruvka;2700;3.75328
Boruvka;2800;3.94123
Boruvka;2900;4.16288
Boruvka;3000;4.21736
Boruvka;3100;4.30231
Boruvka;3200;4.49417
Boruvka;3300;4.66355
Boruvka;3400;4.78599
Boruvka;3500;5.06133
Boruvka;3600;5.25967
Boruvka;3700;5.38152
Boruvka;3800;5.53098
Boruvka;3900;6.4851
Boruvka;4000;6.27238
Boruvka;4100;6.65548
Boruvka;4200;6.71306
Boruvka;4300;6.67668
Boruvka;4400;6.81631
Boruvka;4500;6.93901
Boruvka;4600;7.74528
Boruvka;4700;7.99734
Boruvka;4800;7.66953
Boruvka;4900;7.98052
Boruvka;5000;8.47324
Boruvka;5100;8.19561
Boruvka;5200;8.65141
Boruvka;5300;9.00366
Boruvka;5400;9.44701
Boruvka;5500;9.41784
Boruvka;5600;9.60347
Boruvka;5700;9.51049
Boruvka;5800;9.63446
Boruvka;5900;10.53
Boruvka;6000;10.7286
Boruvka;6100;10.9587
Boruvka;6200;10.4075
Boruvka;6300;10.7475
Boruvka;6400;11.5947
Boruvka;6500;12.1359
Boruvka;6600;12.7337
Boruvka;6700;12.1731
Boruvka;6800;12.042
Boruvka;6900;12.0696
Boruvka;7000;12.2862
Boruvka;7100;12.9483
Boruvka;7200;13.1056
Boruvka;7300;12.9283
Boruvka;7400;13.0056
Boruvka;7500;13.29
Boruvka;7600;14.1174
Boruvka;7700;14.2532
Boruvka;7800;14.8941
Boruvka;7900;14.6029
Boruvka;8000;14.594
Boruvka;8100;15.154
Boruvka;8200;15.0195
Boruvka;8300;15.3184
Boruvka;8400;15.5745
Boruvka;8500;15.6012
Boruvka;8600;16.1695
Boruvka;8700;16.6149
Boruvka;8800;16.5389
Boruvka;8900;17.258
Boruvka;9000;17.2436
Boruvka;9100;17.6243
Boruvka;9200;17.8927
Boruvka;9300;17.9852
Boruvka;9400;18.3911
Boruvka;9500;18.5486
Boruvka;9600;19.3301
Boruvka;9700;19.551
Boruvka;9800;20.8842
Boruvka;9900;20.6256
Boruvka;10000;21.1669
ReverseDelete;100;2.83943
ReverseDelete;200;11.9625
ReverseDelete;300;27.7655
ReverseDelete;400;53.5471
ReverseDelete;500;87.4535
ReverseDelete;600;133.516
ReverseDelete;700;191.923
ReverseDelete;800;270.553
ReverseDelete;900;364.483
ReverseDelete;1000;464.882
ReverseDelete;1100;591.568
ReverseDelete;1200;730.96
ReverseDelete;1300;900.538
ReverseDelete;1400;1098
ReverseDelete;1500;1270.93
ReverseDelete;1600;1507.27
ReverseDelete;1700;1744.62
ReverseDelete;1800;2029.57
ReverseDelete;1900;2306.8
ReverseDelete;2000;2570.26
Karger;100;0.485488
Karger;200;0.3853
Karger;300;0.64664
Karger;400;0.913857
Karger;500;1.22352
Karger;600;1.64379
Karger;700;1.93694
Karger;800;2.37107
Karger;900;2.79008
Karger;1000;3.26199
Karger;1100;3.71126
Karger;1200;4.10988
Karger;1300;4.70618
Karger;1400;5.02177
Karger;1500;5.77142
Karger;1600;6.38831
Karger;1700;6.80442
Karger;1800;7.30945
Karger;1900;7.88388
Karger;2000;8.26311
Karger;2100;9.83189
Karger;2200;9.35126
Karger;2300;9.86817
Karger;2400;10.7933
Karger;2500;11.3007
Karger;2600;12.7795
Karger;2700;13.2431
Karger;2800;14.0061
Karger;2900;14.5428
Karger;3000;15.2926
Karger;3100;16.9923
Karger;3200;17.9945
Karger;3300;17.8469
Karger;3400;20.3459
